0
Diameter:	   5.88
   1.00
Area:	  27.1547
GaugeLength:	  50.00
2016-3-28
Aco 1020
1
DataNumber:	2093
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0240	  0.0000	   0.004	   0.195
    1	  0.0240	  0.0000	   0.006	   0.395
    2	  0.0260	  0.0000	   0.010	   0.595
    3	  0.0280	  0.0000	   0.014	   0.795
    4	  0.0280	  0.0000	   0.016	   0.995
    5	  0.0300	  0.0000	   0.020	   1.195
    6	  0.0300	  0.0000	   0.024	   1.395
    7	  0.0300	  0.0000	   0.026	   1.595
    8	  0.0320	  0.0020	   0.030	   1.795
    9	  0.0320	  0.0000	   0.034	   1.995
   10	  0.0320	  0.0000	   0.037	   2.195
   11	  0.0320	  0.0020	   0.040	   2.395
   12	  0.0320	  0.0000	   0.044	   2.595
   13	  0.0320	  0.0020	   0.047	   2.795
   14	  0.0320	  0.0020	   0.050	   2.995
   15	  0.0340	  0.0020	   0.054	   3.195
   16	  0.0340	  0.0020	   0.056	   3.395
   17	  0.0340	  0.0020	   0.060	   3.595
   18	  0.0340	  0.0020	   0.064	   3.795
   19	  0.0360	  0.0020	   0.066	   3.995
   20	  0.0400	  0.0020	   0.070	   4.195
   21	  0.0460	  0.0020	   0.074	   4.395
   22	  0.0500	  0.0020	   0.076	   4.595
   23	  0.0540	  0.0020	   0.080	   4.795
   24	  0.0560	  0.0020	   0.084	   4.995
   25	  0.0620	  0.0020	   0.086	   5.195
   26	  0.0660	  0.0020	   0.090	   5.395
   27	  0.0700	  0.0020	   0.094	   5.595
   28	  0.0760	  0.0020	   0.096	   5.795
   29	  0.0800	  0.0020	   0.100	   5.995
   30	  0.0840	  0.0020	   0.102	   6.195
   31	  0.0900	  0.0040	   0.106	   6.395
   32	  0.0940	  0.0040	   0.110	   6.595
   33	  0.0960	  0.0040	   0.112	   6.795
   34	  0.0960	  0.0040	   0.116	   6.995
   35	  0.0960	  0.0040	   0.120	   7.195
   36	  0.0960	  0.0040	   0.122	   7.395
   37	  0.0980	  0.0040	   0.126	   7.595
   38	  0.0980	  0.0040	   0.130	   7.795
   39	  0.0980	  0.0040	   0.132	   7.995
   40	  0.1000	  0.0040	   0.136	   8.195
   41	  0.1000	  0.0040	   0.140	   8.395
   42	  0.1020	  0.0040	   0.142	   8.595
   43	  0.1020	  0.0040	   0.146	   8.795
   44	  0.1020	  0.0040	   0.150	   8.995
   45	  0.1020	  0.0040	   0.153	   9.195
   46	  0.1040	  0.0040	   0.156	   9.395
   47	  0.1040	  0.0040	   0.159	   9.595
   48	  0.1040	  0.0040	   0.162	   9.795
   49	  0.1060	  0.0040	   0.166	   9.995
   50	  0.1060	  0.0040	   0.169	  10.195
   51	  0.1100	  0.0040	   0.172	  10.395
   52	  0.1140	  0.0040	   0.176	  10.595
   53	  0.1200	  0.0040	   0.179	  10.795
   54	  0.1240	  0.0040	   0.182	  10.995
   55	  0.1280	  0.0040	   0.185	  11.195
   56	  0.1320	  0.0040	   0.189	  11.395
   57	  0.1380	  0.0060	   0.191	  11.595
   58	  0.1400	  0.0060	   0.195	  11.795
   59	  0.1440	  0.0060	   0.199	  11.995
   60	  0.1480	  0.0060	   0.201	  12.195
   61	  0.1520	  0.0060	   0.205	  12.395
   62	  0.1600	  0.0060	   0.209	  12.595
   63	  0.1660	  0.0060	   0.211	  12.795
   64	  0.1740	  0.0060	   0.215	  12.995
   65	  0.1820	  0.0080	   0.218	  13.195
   66	  0.1900	  0.0080	   0.221	  13.395
   67	  0.1980	  0.0080	   0.225	  13.595
   68	  0.2060	  0.0080	   0.227	  13.795
   69	  0.2120	  0.0080	   0.231	  13.995
   70	  0.2200	  0.0080	   0.235	  14.195
   71	  0.2300	  0.0100	   0.237	  14.395
   72	  0.2360	  0.0100	   0.241	  14.595
   73	  0.2440	  0.0100	   0.244	  14.795
   74	  0.2520	  0.0100	   0.247	  14.995
   75	  0.2620	  0.0100	   0.250	  15.195
   76	  0.2700	  0.0100	   0.254	  15.395
   77	  0.2780	  0.0100	   0.257	  15.595
   78	  0.2860	  0.0120	   0.260	  15.795
   79	  0.2960	  0.0120	   0.264	  15.995
   80	  0.3060	  0.0120	   0.266	  16.195
   81	  0.3160	  0.0120	   0.270	  16.395
   82	  0.3260	  0.0120	   0.274	  16.595
   83	  0.3340	  0.0120	   0.276	  16.795
   84	  0.3440	  0.0120	   0.280	  16.995
   85	  0.3520	  0.0140	   0.282	  17.195
   86	  0.3620	  0.0140	   0.286	  17.395
   87	  0.3740	  0.0140	   0.290	  17.595
   88	  0.3840	  0.0140	   0.292	  17.795
   89	  0.3960	  0.0100	   0.296	  17.995
   90	  0.4080	  0.0120	   0.300	  18.195
   91	  0.4200	  0.0120	   0.302	  18.395
   92	  0.4340	  0.0120	   0.306	  18.595
   93	  0.4480	  0.0120	   0.309	  18.795
   94	  0.4620	  0.0140	   0.312	  18.995
   95	  0.4780	  0.0140	   0.316	  19.195
   96	  0.4940	  0.0140	   0.319	  19.395
   97	  0.5120	  0.0140	   0.322	  19.595
   98	  0.5280	  0.0140	   0.326	  19.795
   99	  0.5460	  0.0140	   0.329	  19.995
  100	  0.5640	  0.0160	   0.332	  20.195
  101	  0.5820	  0.0160	   0.335	  20.395
  102	  0.6020	  0.0160	   0.339	  20.595
  103	  0.6220	  0.0160	   0.343	  20.795
  104	  0.6400	  0.0180	   0.345	  20.995
  105	  0.6600	  0.0180	   0.349	  21.195
  106	  0.6800	  0.0180	   0.351	  21.395
  107	  0.7000	  0.0180	   0.355	  21.595
  108	  0.7200	  0.0180	   0.359	  21.795
  109	  0.7420	  0.0200	   0.361	  21.995
  110	  0.7620	  0.0200	   0.365	  22.195
  111	  0.7840	  0.0200	   0.369	  22.395
  112	  0.8040	  0.0200	   0.371	  22.595
  113	  0.8260	  0.0220	   0.375	  22.795
  114	  0.8480	  0.0220	   0.377	  22.995
  115	  0.8680	  0.0220	   0.381	  23.195
  116	  0.8900	  0.0220	   0.385	  23.395
  117	  0.9120	  0.0220	   0.387	  23.595
  118	  0.9340	  0.0220	   0.391	  23.795
  119	  0.9580	  0.0240	   0.395	  23.995
  120	  0.9800	  0.0240	   0.397	  24.195
  121	  1.0020	  0.0240	   0.401	  24.395
  122	  1.0260	  0.0240	   0.405	  24.595
  123	  1.0500	  0.0260	   0.407	  24.795
  124	  1.0760	  0.0260	   0.411	  24.995
  125	  1.1000	  0.0260	   0.414	  25.195
  126	  1.1280	  0.0260	   0.417	  25.395
  127	  1.1540	  0.0260	   0.421	  25.595
  128	  1.1840	  0.0260	   0.424	  25.795
  129	  1.2120	  0.0280	   0.427	  25.995
  130	  1.2400	  0.0280	   0.431	  26.195
  131	  1.2680	  0.0280	   0.434	  26.395
  132	  1.2960	  0.0280	   0.438	  26.595
  133	  1.3240	  0.0300	   0.441	  26.795
  134	  1.3540	  0.0300	   0.444	  26.995
  135	  1.3820	  0.0300	   0.447	  27.195
  136	  1.4100	  0.0300	   0.450	  27.395
  137	  1.4380	  0.0300	   0.454	  27.595
  138	  1.4660	  0.0300	   0.457	  27.795
  139	  1.4940	  0.0320	   0.460	  27.995
  140	  1.5240	  0.0320	   0.464	  28.195
  141	  1.5540	  0.0320	   0.468	  28.395
  142	  1.5840	  0.0320	   0.470	  28.595
  143	  1.6160	  0.0320	   0.474	  28.795
  144	  1.6460	  0.0320	   0.476	  28.995
  145	  1.6760	  0.0320	   0.480	  29.195
  146	  1.7060	  0.0340	   0.484	  29.395
  147	  1.7360	  0.0340	   0.486	  29.595
  148	  1.7660	  0.0340	   0.490	  29.795
  149	  1.7980	  0.0340	   0.494	  29.995
  150	  1.8300	  0.0340	   0.496	  30.195
  151	  1.8600	  0.0340	   0.500	  30.395
  152	  1.8900	  0.0360	   0.502	  30.595
  153	  1.9240	  0.0360	   0.506	  30.795
  154	  1.9540	  0.0360	   0.510	  30.995
  155	  1.9860	  0.0360	   0.512	  31.195
  156	  2.0180	  0.0360	   0.516	  31.395
  157	  2.0480	  0.0360	   0.520	  31.595
  158	  2.0800	  0.0360	   0.522	  31.795
  159	  2.1120	  0.0380	   0.526	  31.995
  160	  2.1440	  0.0380	   0.529	  32.195
  161	  2.1780	  0.0380	   0.532	  32.395
  162	  2.2080	  0.0380	   0.536	  32.595
  163	  2.2400	  0.0380	   0.539	  32.795
  164	  2.2740	  0.0380	   0.542	  32.995
  165	  2.3040	  0.0400	   0.546	  33.195
  166	  2.3360	  0.0400	   0.549	  33.395
  167	  2.3660	  0.0400	   0.553	  33.595
  168	  2.3980	  0.0400	   0.555	  33.795
  169	  2.4280	  0.0400	   0.559	  33.995
  170	  2.4600	  0.0400	   0.562	  34.195
  171	  2.4900	  0.0420	   0.565	  34.395
  172	  2.5220	  0.0420	   0.569	  34.595
  173	  2.5540	  0.0420	   0.572	  34.795
  174	  2.5860	  0.0420	   0.575	  34.995
  175	  2.6160	  0.0420	   0.579	  35.195
  176	  2.6460	  0.0420	   0.582	  35.395
  177	  2.6780	  0.0420	   0.585	  35.595
  178	  2.7100	  0.0440	   0.589	  35.795
  179	  2.7400	  0.0440	   0.591	  35.995
  180	  2.7720	  0.0440	   0.595	  36.195
  181	  2.8020	  0.0440	   0.599	  36.395
  182	  2.8340	  0.0440	   0.601	  36.595
  183	  2.8660	  0.0440	   0.605	  36.795
  184	  2.8960	  0.0440	   0.609	  36.995
  185	  2.9260	  0.0440	   0.611	  37.195
  186	  2.9580	  0.0460	   0.615	  37.395
  187	  2.9880	  0.0460	   0.619	  37.595
  188	  3.0200	  0.0460	   0.621	  37.795
  189	  3.0500	  0.0460	   0.625	  37.995
  190	  3.0800	  0.0460	   0.629	  38.195
  191	  3.1100	  0.0460	   0.632	  38.395
  192	  3.1420	  0.0480	   0.635	  38.595
  193	  3.1720	  0.0480	   0.639	  38.795
  194	  3.2020	  0.0480	   0.642	  38.995
  195	  3.2320	  0.0480	   0.645	  39.195
  196	  3.2640	  0.0480	   0.649	  39.395
  197	  3.2940	  0.0480	   0.651	  39.595
  198	  3.3240	  0.0480	   0.652	  39.795
  199	  3.3540	  0.0500	   0.656	  39.995
  200	  3.3860	  0.0500	   0.660	  40.195
  201	  3.4160	  0.0500	   0.664	  40.395
  202	  3.4460	  0.0500	   0.666	  40.595
  203	  3.4760	  0.0500	   0.670	  40.795
  204	  3.5080	  0.0500	   0.674	  40.995
  205	  3.5380	  0.0500	   0.678	  41.195
  206	  3.5680	  0.0500	   0.680	  41.395
  207	  3.5980	  0.0520	   0.684	  41.595
  208	  3.6280	  0.0520	   0.688	  41.795
  209	  3.6580	  0.0520	   0.691	  41.995
  210	  3.6880	  0.0520	   0.694	  42.195
  211	  3.7180	  0.0520	   0.697	  42.395
  212	  3.7480	  0.0520	   0.701	  42.595
  213	  3.7780	  0.0520	   0.704	  42.795
  214	  3.8080	  0.0520	   0.707	  42.995
  215	  3.8380	  0.0540	   0.711	  43.195
  216	  3.8660	  0.0540	   0.715	  43.395
  217	  3.8960	  0.0540	   0.717	  43.595
  218	  3.9240	  0.0540	   0.721	  43.795
  219	  3.9540	  0.0540	   0.725	  43.995
  220	  3.9840	  0.0560	   0.729	  44.195
  221	  4.0140	  0.0560	   0.731	  44.395
  222	  4.0440	  0.0560	   0.735	  44.595
  223	  4.0740	  0.0560	   0.739	  44.795
  224	  4.1040	  0.0560	   0.741	  44.995
  225	  4.1320	  0.0560	   0.745	  45.195
  226	  4.1620	  0.0560	   0.749	  45.395
  227	  4.1900	  0.0580	   0.752	  45.595
  228	  4.2200	  0.0580	   0.755	  45.795
  229	  4.2480	  0.0580	   0.759	  45.995
  230	  4.2780	  0.0580	   0.762	  46.195
  231	  4.3080	  0.0580	   0.765	  46.395
  232	  4.3360	  0.0580	   0.769	  46.595
  233	  4.3660	  0.0580	   0.772	  46.795
  234	  4.3940	  0.0580	   0.776	  46.995
  235	  4.4240	  0.0600	   0.779	  47.195
  236	  4.4520	  0.0600	   0.782	  47.395
  237	  4.4780	  0.0600	   0.786	  47.595
  238	  4.5080	  0.0600	   0.789	  47.795
  239	  4.5360	  0.0600	   0.792	  47.995
  240	  4.5620	  0.0600	   0.796	  48.195
  241	  4.5920	  0.0600	   0.799	  48.395
  242	  4.6200	  0.0600	   0.803	  48.595
  243	  4.6480	  0.0620	   0.806	  48.795
  244	  4.6760	  0.0620	   0.810	  48.995
  245	  4.7040	  0.0620	   0.812	  49.195
  246	  4.7320	  0.0620	   0.816	  49.395
  247	  4.7580	  0.0620	   0.820	  49.595
  248	  4.7860	  0.0620	   0.824	  49.795
  249	  4.8120	  0.0640	   0.826	  49.995
  250	  4.8400	  0.0620	   0.830	  50.195
  251	  4.8660	  0.0640	   0.834	  50.395
  252	  4.8940	  0.0640	   0.837	  50.595
  253	  4.9200	  0.0640	   0.840	  50.795
  254	  4.9480	  0.0640	   0.844	  50.995
  255	  4.9740	  0.0640	   0.847	  51.195
  256	  5.0000	  0.0640	   0.850	  51.395
  257	  5.0280	  0.0640	   0.854	  51.595
  258	  5.0540	  0.0640	   0.857	  51.795
  259	  5.0800	  0.0660	   0.861	  51.995
  260	  5.1060	  0.0660	   0.864	  52.195
  261	  5.1320	  0.0660	   0.868	  52.395
  262	  5.1560	  0.0660	   0.871	  52.595
  263	  5.1840	  0.0660	   0.874	  52.795
  264	  5.2080	  0.0660	   0.877	  52.995
  265	  5.2340	  0.0660	   0.881	  53.195
  266	  5.2600	  0.0660	   0.884	  53.395
  267	  5.2840	  0.0680	   0.887	  53.595
  268	  5.3080	  0.0680	   0.891	  53.795
  269	  5.3320	  0.0680	   0.895	  53.995
  270	  5.3560	  0.0680	   0.897	  54.195
  271	  5.3820	  0.0680	   0.901	  54.395
  272	  5.4040	  0.0680	   0.905	  54.595
  273	  5.4280	  0.0680	   0.907	  54.795
  274	  5.4500	  0.0680	   0.911	  54.995
  275	  5.4740	  0.0680	   0.915	  55.195
  276	  5.4980	  0.0700	   0.917	  55.395
  277	  5.5200	  0.0700	   0.921	  55.595
  278	  5.5440	  0.0700	   0.925	  55.795
  279	  5.5660	  0.0700	   0.927	  55.995
  280	  5.5900	  0.0700	   0.931	  56.195
  281	  5.6140	  0.0700	   0.935	  56.395
  282	  5.6360	  0.0700	   0.939	  56.595
  283	  5.6600	  0.0700	   0.941	  56.795
  284	  5.6840	  0.0700	   0.945	  56.995
  285	  5.7080	  0.0700	   0.949	  57.195
  286	  5.7300	  0.0720	   0.951	  57.395
  287	  5.7540	  0.0720	   0.955	  57.595
  288	  5.7780	  0.0720	   0.959	  57.795
  289	  5.8000	  0.0720	   0.962	  57.995
  290	  5.8220	  0.0720	   0.965	  58.195
  291	  5.8460	  0.0720	   0.969	  58.395
  292	  5.8680	  0.0720	   0.972	  58.595
  293	  5.8920	  0.0720	   0.975	  58.795
  294	  5.9140	  0.0720	   0.979	  58.995
  295	  5.9360	  0.0720	   0.982	  59.195
  296	  5.9580	  0.0740	   0.985	  59.395
  297	  5.9820	  0.0740	   0.989	  59.595
  298	  6.0040	  0.0740	   0.993	  59.795
  299	  6.0260	  0.0740	   0.996	  59.995
  300	  6.0460	  0.0740	   0.999	  60.195
  301	  6.0700	  0.0740	   1.002	  60.395
  302	  6.0900	  0.0740	   1.006	  60.595
  303	  6.1120	  0.0740	   1.009	  60.795
  304	  6.1340	  0.0740	   1.012	  60.995
  305	  6.1560	  0.0740	   1.016	  61.195
  306	  6.1800	  0.0740	   1.019	  61.395
  307	  6.2000	  0.0760	   1.022	  61.595
  308	  6.2220	  0.0760	   1.026	  61.795
  309	  6.2440	  0.0760	   1.029	  61.995
  310	  6.2660	  0.0760	   1.033	  62.195
  311	  6.2880	  0.0760	   1.036	  62.395
  312	  6.3080	  0.0760	   1.039	  62.595
  313	  6.3300	  0.0760	   1.043	  62.795
  314	  6.3520	  0.0760	   1.046	  62.995
  315	  6.3720	  0.0760	   1.050	  63.195
  316	  6.3940	  0.0780	   1.053	  63.395
  317	  6.4160	  0.0780	   1.056	  63.595
  318	  6.4380	  0.0780	   1.060	  63.795
  319	  6.4600	  0.0780	   1.062	  63.995
  320	  6.4800	  0.0780	   1.066	  64.195
  321	  6.5000	  0.0780	   1.070	  64.395
  322	  6.5220	  0.0780	   1.072	  64.595
  323	  6.5420	  0.0780	   1.076	  64.795
  324	  6.5640	  0.0780	   1.080	  64.995
  325	  6.5840	  0.0780	   1.084	  65.195
  326	  6.6060	  0.0780	   1.086	  65.395
  327	  6.6260	  0.0800	   1.090	  65.595
  328	  6.6480	  0.0800	   1.094	  65.795
  329	  6.6680	  0.0800	   1.097	  65.995
  330	  6.6900	  0.0800	   1.100	  66.195
  331	  6.7100	  0.0800	   1.104	  66.395
  332	  6.7300	  0.0800	   1.107	  66.595
  333	  6.7520	  0.0800	   1.110	  66.795
  334	  6.7720	  0.0800	   1.114	  66.995
  335	  6.7940	  0.0800	   1.117	  67.195
  336	  6.8140	  0.0800	   1.120	  67.395
  337	  6.8340	  0.0820	   1.124	  67.595
  338	  6.8540	  0.0820	   1.127	  67.795
  339	  6.8740	  0.0820	   1.131	  67.995
  340	  6.8960	  0.0820	   1.134	  68.195
  341	  6.9160	  0.0820	   1.137	  68.395
  342	  6.9340	  0.0820	   1.141	  68.595
  343	  6.9560	  0.0820	   1.144	  68.795
  344	  6.9740	  0.0820	   1.147	  68.995
  345	  6.9960	  0.0820	   1.151	  69.195
  346	  7.0160	  0.0840	   1.154	  69.395
  347	  7.0380	  0.0840	   1.158	  69.595
  348	  7.0580	  0.0840	   1.161	  69.795
  349	  7.0800	  0.0820	   1.164	  69.995
  350	  7.0980	  0.0840	   1.168	  70.195
  351	  7.1200	  0.0840	   1.171	  70.395
  352	  7.1400	  0.0840	   1.174	  70.595
  353	  7.1600	  0.0840	   1.178	  70.795
  354	  7.1820	  0.0840	   1.181	  70.995
  355	  7.2020	  0.0840	   1.184	  71.195
  356	  7.2240	  0.0840	   1.188	  71.395
  357	  7.2440	  0.0860	   1.191	  71.595
  358	  7.2660	  0.0860	   1.195	  71.795
  359	  7.2860	  0.0860	   1.197	  71.995
  360	  7.3060	  0.0860	   1.201	  72.195
  361	  7.3260	  0.0860	   1.205	  72.395
  362	  7.3480	  0.0860	   1.207	  72.595
  363	  7.3660	  0.0860	   1.211	  72.795
  364	  7.3860	  0.0860	   1.215	  72.995
  365	  7.4060	  0.0860	   1.219	  73.195
  366	  7.4260	  0.0880	   1.221	  73.395
  367	  7.4460	  0.0880	   1.225	  73.595
  368	  7.4660	  0.0880	   1.229	  73.795
  369	  7.4860	  0.0880	   1.231	  73.995
  370	  7.5060	  0.0880	   1.235	  74.195
  371	  7.5240	  0.0880	   1.239	  74.395
  372	  7.5440	  0.0880	   1.242	  74.595
  373	  7.5640	  0.0880	   1.245	  74.795
  374	  7.5840	  0.0880	   1.249	  74.995
  375	  7.6040	  0.0880	   1.252	  75.195
  376	  7.6220	  0.0880	   1.255	  75.395
  377	  7.6420	  0.0880	   1.259	  75.595
  378	  7.6620	  0.0900	   1.262	  75.795
  379	  7.6800	  0.0900	   1.266	  75.995
  380	  7.7000	  0.0900	   1.269	  76.195
  381	  7.7200	  0.0900	   1.272	  76.395
  382	  7.7380	  0.0900	   1.276	  76.595
  383	  7.7580	  0.0900	   1.279	  76.795
  384	  7.7780	  0.0900	   1.283	  76.995
  385	  7.7980	  0.0900	   1.286	  77.195
  386	  7.8160	  0.0900	   1.289	  77.395
  387	  7.8360	  0.0900	   1.293	  77.595
  388	  7.8560	  0.0900	   1.296	  77.795
  389	  7.8740	  0.0920	   1.300	  77.995
  390	  7.8920	  0.0920	   1.303	  78.195
  391	  7.9120	  0.0920	   1.306	  78.395
  392	  7.9300	  0.0920	   1.310	  78.595
  393	  7.9500	  0.0920	   1.312	  78.795
  394	  7.9700	  0.0920	   1.316	  78.995
  395	  7.9860	  0.0920	   1.320	  79.195
  396	  8.0060	  0.0920	   1.324	  79.395
  397	  8.0240	  0.0920	   1.326	  79.595
  398	  8.0420	  0.0920	   1.330	  79.795
  399	  8.0620	  0.0920	   1.334	  79.995
  400	  8.0800	  0.0920	   1.336	  80.195
  401	  8.0980	  0.0940	   1.340	  80.395
  402	  8.1180	  0.0940	   1.344	  80.595
  403	  8.1360	  0.0940	   1.347	  80.795
  404	  8.1540	  0.0940	   1.350	  80.995
  405	  8.1720	  0.0940	   1.354	  81.195
  406	  8.1900	  0.0940	   1.357	  81.395
  407	  8.2080	  0.0940	   1.360	  81.595
  408	  8.2260	  0.0940	   1.364	  81.795
  409	  8.2460	  0.0940	   1.367	  81.995
  410	  8.2660	  0.0940	   1.371	  82.195
  411	  8.2840	  0.0940	   1.374	  82.395
  412	  8.3020	  0.0960	   1.377	  82.595
  413	  8.3220	  0.0960	   1.381	  82.795
  414	  8.3400	  0.0960	   1.384	  82.995
  415	  8.3580	  0.0960	   1.387	  83.195
  416	  8.3760	  0.0960	   1.391	  83.395
  417	  8.3940	  0.0960	   1.395	  83.595
  418	  8.4140	  0.0960	   1.397	  83.795
  419	  8.4320	  0.0960	   1.401	  83.995
  420	  8.4500	  0.0960	   1.405	  84.195
  421	  8.4700	  0.0960	   1.409	  84.395
  422	  8.4900	  0.0980	   1.411	  84.595
  423	  8.5080	  0.0980	   1.415	  84.795
  424	  8.5260	  0.0980	   1.419	  84.995
  425	  8.5440	  0.0980	   1.423	  85.195
  426	  8.5620	  0.0980	   1.425	  85.395
  427	  8.5800	  0.0980	   1.429	  85.595
  428	  8.6000	  0.0980	   1.433	  85.795
  429	  8.6180	  0.0980	   1.435	  85.995
  430	  8.6380	  0.0980	   1.439	  86.195
  431	  8.6560	  0.1000	   1.442	  86.395
  432	  8.6740	  0.0980	   1.446	  86.595
  433	  8.6920	  0.0980	   1.449	  86.795
  434	  8.7120	  0.1000	   1.452	  86.995
  435	  8.7300	  0.1000	   1.456	  87.195
  436	  8.7480	  0.1000	   1.459	  87.395
  437	  8.7660	  0.1000	   1.462	  87.595
  438	  8.7860	  0.0960	   1.466	  87.795
  439	  8.8040	  0.0940	   1.469	  87.995
  440	  8.8240	  0.0940	   1.472	  88.195
  441	  8.8440	  0.0940	   1.476	  88.395
  442	  8.8620	  0.0940	   1.480	  88.595
  443	  8.8820	  0.0940	   1.482	  88.795
  444	  8.9020	  0.0940	   1.486	  88.995
  445	  8.9200	  0.0960	   1.490	  89.195
  446	  8.9400	  0.0960	   1.492	  89.395
  447	  8.9580	  0.0960	   1.496	  89.595
  448	  8.9760	  0.0960	   1.500	  89.795
  449	  8.9960	  0.0960	   1.504	  89.995
  450	  9.2800	  0.0980	   1.515	  90.195
  451	  9.3000	  0.0980	   1.519	  90.395
  452	  9.3160	  0.0980	   1.522	  90.595
  453	  9.3360	  0.0980	   1.525	  90.795
  454	  9.3520	  0.0980	   1.529	  90.995
  455	  9.3760	  0.0980	   1.532	  91.195
  456	  9.3920	  0.0980	   1.535	  91.395
  457	  9.4120	  0.1000	   1.539	  91.595
  458	  9.4280	  0.0980	   1.543	  91.795
  459	  9.4520	  0.1000	   1.546	  91.995
  460	  9.4680	  0.1000	   1.549	  92.195
  461	  9.4880	  0.1000	   1.553	  92.395
  462	  9.5080	  0.1000	   1.556	  92.595
  463	  9.5280	  0.1000	   1.559	  92.795
  464	  9.5480	  0.1000	   1.562	  92.995
  465	  9.5680	  0.1000	   1.566	  93.195
  466	  9.5840	  0.1000	   1.569	  93.395
  467	  9.6040	  0.1000	   1.572	  93.595
  468	  9.6240	  0.1000	   1.576	  93.795
  469	  9.6440	  0.1020	   1.579	  93.995
  470	  9.6640	  0.1020	   1.582	  94.195
  471	  9.6840	  0.1020	   1.586	  94.395
  472	  9.7040	  0.1020	   1.590	  94.595
  473	  9.7240	  0.1020	   1.592	  94.795
  474	  9.7400	  0.1020	   1.596	  94.995
  475	  9.7640	  0.1020	   1.600	  95.195
  476	  9.7800	  0.1020	   1.602	  95.395
  477	  9.8000	  0.1020	   1.606	  95.595
  478	  9.8200	  0.1040	   1.610	  95.795
  479	  9.8400	  0.1040	   1.612	  95.995
  480	  9.8600	  0.1040	   1.616	  96.195
  481	  9.8800	  0.1040	   1.620	  96.395
  482	  9.9000	  0.1040	   1.624	  96.595
  483	  9.9200	  0.1040	   1.626	  96.795
  484	  9.9400	  0.1040	   1.630	  96.995
  485	  9.9600	  0.1040	   1.634	  97.195
  486	  9.9800	  0.1040	   1.636	  97.395
  487	 10.0000	  0.1060	   1.640	  97.595
  488	 10.0200	  0.1060	   1.644	  97.795
  489	 10.0400	  0.1060	   1.647	  97.995
  490	 10.0600	  0.1060	   1.650	  98.195
  491	 10.0800	  0.1060	   1.654	  98.395
  492	 10.1000	  0.1060	   1.657	  98.595
  493	 10.1200	  0.1060	   1.660	  98.795
  494	 10.1400	  0.1080	   1.664	  98.995
  495	 10.1600	  0.1080	   1.668	  99.195
  496	 10.1800	  0.1080	   1.671	  99.395
  497	 10.2000	  0.1080	   1.674	  99.595
  498	 10.2200	  0.1080	   1.678	  99.795
  499	 10.2400	  0.1080	   1.681	  99.995
  500	 10.2600	  0.1080	   1.684	 100.195
  501	 10.2800	  0.1080	   1.688	 100.395
  502	 10.3000	  0.1080	   1.691	 100.595
  503	 10.3200	  0.1080	   1.694	 100.795
  504	 10.3400	  0.1100	   1.697	 100.995
  505	 10.3600	  0.1100	   1.701	 101.195
  506	 10.3800	  0.1100	   1.704	 101.395
  507	 10.4000	  0.1100	   1.707	 101.595
  508	 10.4200	  0.1100	   1.711	 101.795
  509	 10.4400	  0.1100	   1.714	 101.995
  510	 10.4600	  0.1100	   1.717	 102.195
  511	 10.4800	  0.1100	   1.721	 102.395
  512	 10.5040	  0.1100	   1.725	 102.595
  513	 10.5240	  0.1100	   1.727	 102.795
  514	 10.5440	  0.1120	   1.731	 102.995
  515	 10.5640	  0.1120	   1.735	 103.195
  516	 10.5840	  0.1120	   1.737	 103.395
  517	 10.6040	  0.1120	   1.741	 103.595
  518	 10.6240	  0.1120	   1.745	 103.795
  519	 10.6440	  0.1120	   1.749	 103.995
  520	 10.6640	  0.1120	   1.751	 104.195
  521	 10.6840	  0.1140	   1.755	 104.395
  522	 10.7040	  0.1120	   1.759	 104.595
  523	 10.7240	  0.1140	   1.761	 104.795
  524	 10.7440	  0.1140	   1.765	 104.995
  525	 10.7680	  0.1140	   1.769	 105.195
  526	 10.7840	  0.1140	   1.771	 105.395
  527	 10.8080	  0.1140	   1.775	 105.595
  528	 10.8280	  0.1140	   1.779	 105.795
  529	 10.8440	  0.1160	   1.781	 105.995
  530	 10.8680	  0.1160	   1.785	 106.195
  531	 10.8880	  0.1160	   1.789	 106.395
  532	 10.9080	  0.1160	   1.793	 106.595
  533	 10.9280	  0.1160	   1.795	 106.795
  534	 10.9480	  0.1160	   1.799	 106.995
  535	 10.9680	  0.1160	   1.803	 107.195
  536	 10.9920	  0.1160	   1.805	 107.395
  537	 11.0120	  0.1160	   1.809	 107.595
  538	 11.0320	  0.1180	   1.812	 107.795
  539	 11.0520	  0.1180	   1.815	 107.995
  540	 11.0720	  0.1180	   1.819	 108.195
  541	 11.0920	  0.1180	   1.822	 108.395
  542	 11.1160	  0.1180	   1.825	 108.595
  543	 11.1360	  0.1180	   1.829	 108.795
  544	 11.1560	  0.1180	   1.832	 108.995
  545	 11.1760	  0.1180	   1.836	 109.195
  546	 11.1960	  0.1180	   1.839	 109.395
  547	 11.2160	  0.1200	   1.842	 109.595
  548	 11.2360	  0.1200	   1.846	 109.795
  549	 11.2560	  0.1200	   1.849	 109.995
  550	 11.2760	  0.1200	   1.852	 110.195
  551	 11.2960	  0.1200	   1.856	 110.395
  552	 11.3200	  0.1200	   1.859	 110.595
  553	 11.3400	  0.1220	   1.862	 110.795
  554	 11.3600	  0.1200	   1.866	 110.995
  555	 11.3800	  0.1220	   1.869	 111.195
