0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2016-4-13
1020
001
DataNumber:	4830
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
  256	  5.5040	  0.0820	   0.844	  51.395
  257	  5.5140	  0.0840	   0.846	  51.595
  258	  5.5240	  0.0840	   0.850	  51.795
  259	  5.5340	  0.0860	   0.854	  51.995
  260	  5.5440	  0.0860	   0.856	  52.195
  261	  5.5540	  0.0880	   0.860	  52.395
  262	  5.5640	  0.0900	   0.862	  52.595
  263	  5.5740	  0.0900	   0.866	  52.795
  264	  5.5840	  0.0920	   0.870	  52.995
  265	  5.5920	  0.0940	   0.873	  53.195
  266	  5.6020	  0.0940	   0.876	  53.395
  267	  5.6100	  0.0960	   0.880	  53.595
  268	  5.6180	  0.0980	   0.882	  53.795
  269	  5.6240	  0.1000	   0.886	  53.995
  270	  5.6300	  0.1020	   0.889	  54.195
  271	  5.6360	  0.1040	   0.892	  54.395
  272	  5.6400	  0.1060	   0.896	  54.595
  273	  5.6420	  0.1080	   0.899	  54.795
  274	  5.6400	  0.1100	   0.902	  54.995
  275	  5.6360	  0.1140	   0.906	  55.195
  276	  5.6260	  0.1180	   0.909	  55.395
  277	  5.6060	  0.1200	   0.912	  55.595
  278	  5.5600	  0.1260	   0.915	  55.795
  279	  5.4720	  0.1320	   0.919	  55.995
  280	  5.4040	  0.1380	   0.922	  56.195
  281	  5.3440	  0.1420	   0.925	  56.395
  282	  5.3080	  0.1480	   0.929	  56.595
  283	  5.2980	  0.1520	   0.933	  56.795
  284	  5.2940	  0.1540	   0.935	  56.995
  285	  5.2960	  0.1580	   0.939	  57.195
  286	  5.3060	  0.1620	   0.941	  57.395
  287	  5.3220	  0.1640	   0.945	  57.595
  288	  5.3340	  0.1680	   0.949	  57.795
  289	  5.3400	  0.1700	   0.951	  57.995
  290	  5.3400	  0.1740	   0.955	  58.195
  291	  5.3440	  0.1760	   0.957	  58.395
  292	  5.3460	  0.1800	   0.961	  58.595
  293	  5.3380	  0.1840	   0.965	  58.795
  294	  5.3300	  0.1880	   0.967	  58.995
  295	  5.3240	  0.1920	   0.971	  59.195
  296	  5.3220	  0.1960	   0.974	  59.395
  297	  5.3220	  0.2000	   0.977	  59.595
  298	  5.3140	  0.2020	   0.981	  59.795
  299	  5.2980	  0.2060	   0.984	  59.995
  300	  5.2920	  0.2100	   0.987	  60.195
  301	  5.2840	  0.2140	   0.990	  60.395
  302	  5.2600	  0.2180	   0.994	  60.595
  303	  5.2400	  0.2220	   0.998	  60.795
  304	  5.2260	  0.2260	   1.000	  60.995
  305	  5.2240	  0.2300	   1.004	  61.195
  306	  5.2180	  0.2340	   1.007	  61.395
  307	  5.2000	  0.2380	   1.010	  61.595
  308	  5.1800	  0.2420	   1.014	  61.795
  309	  5.1720	  0.2460	   1.017	  61.995
  310	  5.1720	  0.2500	   1.020	  62.195
  311	  5.1780	  0.2520	   1.024	  62.395
  312	  5.1840	  0.2560	   1.026	  62.595
  313	  5.1880	  0.2580	   1.030	  62.795
  314	  5.1840	  0.2620	   1.033	  62.995
  315	  5.1760	  0.2660	   1.036	  63.195
  316	  5.1680	  0.2700	   1.040	  63.395
  317	  5.1680	  0.2740	   1.043	  63.595
